nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
989, 1333, 359, 
990, 22, 573, 
991, 2129, 1849, 
992, 1766, 1213, 
993, 1805, 452, 
994, 2088, 602, 
995, 361, 455, 
996, 915, 952, 
997, 748, 1805, 
998, 879, 1930, 
999, 1607, 1270, 
1000, 1558, 342, 
1001, 1771, 1766, 
1002, 714, 108, 
1003, 1919, 1226, 
1004, 642, 1009, 
1005, 405, 1539, 
1006, 1249, 1848, 
1007, 1945, 1221, 
1008, 1631, 2089, 
1009, 757, 792, 
1010, 1160, 778, 
1011, 1888, 472, 
1012, 1997, 2128, 
1013, 511, 2022, 
1014, 653, 1470, 
1015, 957, 1656, 
1016, 2139, 1657, 
1017, 382, 825, 
1018, 1832, 1854, 
1019, 1665, 475, 
1020, 1779, 333, 
1021, 1137, 2106, 
1022, 1150, 339, 
1023, 1929, 589, 
1024, 1785, 828, 
1025, 1666, 897, 
1026, 613, 1404, 
1027, 196, 1617, 
1028, 377, 834, 
1029, 122, 1863, 
1030, 1414, 961, 
1031, 1330, 494, 
1032, 2035, 1073, 
1033, 2138, 1230, 
1034, 635, 1492, 
1035, 458, 1706, 
1036, 592, 295, 
1037, 960, 606, 
1038, 1669, 1837, 
1039, 253, 1605, 
1040, 92, 44, 
1041, 1114, 742, 
1042, 850, 1755, 
1043, 247, 363, 
1044, 80, 2137, 
1045, 604, 991, 
1046, 1187, 1725, 
1047, 477, 450, 
1048, 114, 227, 
1049, 567, 798, 
1050, 369, 48, 
1051, 1035, 201, 
1052, 43, 191, 
1053, 463, 1364, 
1054, 1343, 355, 
1055, 1689, 1334, 
1056, 1085, 1799, 
1057, 1614, 1855, 
1058, 1837, 1306, 
1059, 2115, 2079, 
1060, 490, 1450, 
1061, 200, 485, 
1062, 918, 1701, 
1063, 1495, 440, 
1064, 1956, 86, 
1065, 1242, 1002, 
1066, 73, 1532, 
1067, 1214, 1257, 
1068, 1106, 970, 
1069, 703, 720, 
1070, 1043, 369, 
1071, 2089, 1042, 
1072, 1493, 2044, 
1073, 1030, 292, 
1074, 1017, 468, 
1075, 221, 1795, 
1076, 1397, 1576, 
1077, 217, 913, 
1078, 1020, 1440, 
1079, 1747, 892, 
1080, 163, 1102, 
1081, 2078, 1148, 
1082, 1270, 1485, 
1083, 32, 1787, 
1084, 2013, 1366, 
1085, 1470, 1188, 
1086, 37, 575, 
1087, 466, 336, 
1088, 956, 779, 
1089, 979, 377, 
1090, 133, 1679, 
1091, 470, 2027, 
1092, 1552, 346, 
1093, 1140, 53, 
1094, 1967, 1813, 
1095, 774, 364, 
1096, 1191, 533, 
1097, 360, 21, 
1098, 1908, 1466, 
1099, 2077, 591, 
1100, 1122, 2046, 
1101, 65, 457, 
1102, 255, 1197, 
1103, 341, 669, 
1104, 1702, 1625, 
1105, 946, 1711, 
1106, 1959, 1933, 
1107, 648, 1630, 
1108, 668, 535, 
1109, 1828, 1600, 
1110, 959, 1549, 
1111, 1550, 278, 
1112, 838, 634, 
1113, 214, 1615, 
1114, 2133, 732, 
1115, 52, 1457, 
1116, 872, 734, 
1117, 1162, 1978, 
1118, 1724, 2102, 
1119, 1284, 537, 
1120, 991, 1486, 
1121, 2014, 1378, 
1122, 120, 443, 
1123, 1861, 716, 
1124, 1758, 456, 
1125, 527, 2110, 
1126, 781, 1085, 
1127, 358, 1756, 
1128, 489, 1533, 
1129, 2038, 2023, 
1130, 1147, 2063, 
1131, 144, 1815, 
1132, 617, 1168, 
1133, 767, 1133, 
1134, 963, 350, 
1135, 1008, 1044, 
1136, 278, 101, 
1137, 440, 1379, 
1138, 817, 1985, 
1139, 135, 1723, 
1140, 1023, 1427, 
1141, 2132, 662, 
1142, 334, 1943, 
1143, 1298, 183, 
1144, 1304, 886, 
1145, 797, 293, 
1146, 693, 1313, 
1147, 1352, 912, 
1148, 1232, 246, 
1149, 1469, 1216, 
1150, 23, 925, 
1151, 1152, 1726, 
